timestamp,gps_lat,gps_long,power_kwh,vibration_hz,temp_c,humidity_pct,reported_co2_ppm,label,Status Note
1672511400,34.0522,-118.2437,451.8,55.0,26.5,39.0,1250.0,0,Normal - Physics Aligned
1672512300,34.0522,-118.2437,449.5,54.7,25.0,43.2,1247.0,0,Normal - Physics Aligned
1672513200,34.0522,-118.2437,440.2,55.9,25.1,44.6,1258.0,0,Normal - Physics Aligned
1672514100,34.0522,-118.2437,476.1,55.7,20.1,53.3,1289.0,0,Normal - Physics Aligned
1672515000,34.0522,-118.2437,432.3,52.6,25.9,41.9,1233.0,0,Normal - Physics Aligned
1672515900,34.0522,-118.2437,434.5,55.3,23.7,45.0,1228.0,0,Normal - Physics Aligned
1672516800,34.0522,-118.2437,460.2,58.0,23.5,47.0,1283.0,0,Normal - Physics Aligned
1672517700,34.0522,-118.2437,465.3,55.9,21.8,49.2,1268.0,0,Normal - Physics Aligned
1672518600,34.0522,-118.2437,452.6,51.9,21.2,49.6,1235.0,0,Normal - Physics Aligned
1672519500,34.0522,-118.2437,498.8,61.4,21.2,50.1,1311.0,0,Normal - Physics Aligned
1672520400,34.0522,-118.2437,473.2,55.3,22.9,46.2,1262.0,0,Normal - Physics Aligned
1672521300,34.0522,-118.2437,478.2,58.8,24.7,43.6,1293.0,0,Normal - Physics Aligned
1672522200,34.0522,-118.2437,478.9,56.2,28.1,37.4,1294.0,0,Normal - Physics Aligned
1672523100,34.0522,-118.2437,443.7,52.4,25.0,44.8,1249.0,0,Normal - Physics Aligned
1672524000,34.0522,-118.2437,467.8,55.0,25.5,40.4,1253.0,0,Normal - Physics Aligned
1672524900,34.0522,-118.2437,465.1,60.3,24.6,44.3,1291.0,0,Normal - Physics Aligned
1672525800,34.0522,-118.2437,432.1,54.1,28.1,37.2,1228.0,0,Normal - Physics Aligned
1672526700,34.0522,-118.2437,461.8,56.5,20.8,50.9,1264.0,0,Normal - Physics Aligned
1672527600,34.0522,-118.2437,469.7,57.9,24.3,44.4,1279.0,0,Normal - Physics Aligned
1672528500,34.0522,-118.2437,472.1,58.2,24.6,43.9,1282.0,0,Normal - Physics Aligned
1672529400,34.0522,-118.2437,445.8,53.5,21.1,52.0,1261.0,0,Normal - Physics Aligned
1672530300,34.0522,-118.2437,428.1,48.4,26.3,41.6,1205.0,0,Normal - Physics Aligned
1672531200,34.0522,-118.2437,476.7,57.3,24.1,44.1,1287.0,0,Normal - Physics Aligned
1672532100,34.0522,-118.2437,440.2,57.0,23.2,45.7,1236.0,0,Normal - Physics Aligned
1672533000,34.0522,-118.2437,446.9,58.2,24.9,48.4,418.0,1,Anomaly - Sensor Bagged
1672533900,34.0522,-118.2437,444.4,53.8,26.8,38.5,1230.0,0,Normal - Physics Aligned
1672534800,34.0522,-118.2437,484.8,57.2,21.4,50.7,1297.0,0,Normal - Physics Aligned
1672535700,34.0522,-118.2437,435.2,47.9,21.6,50.0,1202.0,0,Normal - Physics Aligned
1672536600,34.0522,-118.2437,502.6,65.5,24.8,44.5,416.0,1,Anomaly - Sensor Bagged
1672537500,34.0522,-118.2437,427.0,50.0,21.4,49.5,1217.0,0,Normal - Physics Aligned
1672538400,34.0522,-118.2437,438.4,54.1,24.4,43.9,1233.0,0,Normal - Physics Aligned
1672539300,34.0522,-118.2437,427.3,52.2,24.4,43.5,1201.0,0,Normal - Physics Aligned
1672540200,36.1627,-115.1398,451.7,58.5,20.7,27.0,420.0,1,Anomaly - Location Spoof
1672541100,34.0522,-118.2437,422.8,52.9,25.4,42.6,401.0,1,Anomaly - Sensor Bagged
1672542000,34.0522,-118.2437,444.5,56.3,25.9,41.5,1262.0,0,Normal - Physics Aligned
1672542900,34.0522,-118.2437,442.7,56.9,27.5,37.6,1241.0,0,Normal - Physics Aligned
1672543800,34.0522,-118.2437,466.4,59.9,27.5,41.5,1308.0,0,Normal - Physics Aligned
1672544700,36.1627,-115.1398,461.4,54.9,20.8,29.7,403.0,1,Anomaly - Location Spoof
1672545600,34.0522,-118.2437,437.2,53.2,25.1,41.5,411.0,1,Anomaly - Sensor Bagged
1672546500,34.0522,-118.2437,457.8,57.1,23.9,45.9,1275.0,0,Normal - Physics Aligned
1672547400,34.0522,-118.2437,455.9,53.9,23.1,46.6,1261.0,0,Normal - Physics Aligned
1672548300,34.0522,-118.2437,449.4,58.5,22.9,44.8,1233.0,0,Normal - Physics Aligned
